"","SubjectID","age","gender","sspan.raw","ppvt.raw","wasi.vocab.raw","wasi.matr.raw","wasi.iq","wj3.watt.raw","wj3.wid.raw","wj3.rcomp.raw","wj3.oralcomp.raw","celf.rs.raw","celf.fs.raw","towre.w.ipm","towre.nw.ipm","wj3.rf.ipm","decoding.comp","handedness","vocab.comp"
"82",118,21.35,"Male",43,216,39,19,98,28,74,43,31,90,56,137.33,74.67,"37.45",0.506971992299807,"right",0.569297743838925
"83",119,19.96,"Female",24,190,35,20,96,26,68,36,27,63,53,110.67,30.67,"25.67",-1.23877324149531,"right",-0.725719602577586
"84",120,21.58,"Female",41,200,37,20,97,28,71,36,31,94,55,137.33,83.92,"36",0.482630974775192,"right",-0.254018150165047
"85",121,19.65,"Male",38,212,43,23,114,29,74,42,30,85,56,122.67,62.67,"28",0.146928011841181,"right",0.726878878052746
"86",122,23.2,"Female",45,209,44,27,128,30,72,41,31,96,54,112,72,"38.43",0.148639192442711,"right",0.683914327833991
"87",123,21.53,"Female",43,210,31,23,94,31,72,41,29,95,55,108,56,"28.33",-0.045963756589777,"right",-0.389071536383372
"88",124,20.42,"Male",43,213,39,23,105,32,73,44,27,95,55,151.13,77.33,"32",1.34273574500997,"right",0.428672199706293
"89",125,22.21,"Female",40,223,48,24,125,31,76,43,31,95,55,130.67,78.67,"35.21",1.06390428771256,"right",1.70702425955615
"90",126,24.91,"Female",39,204,42,20,104,31,72,40,27,91,54,126.67,72,"32.67",0.542135922214686,"right",0.31626385417897
"91",127,20.56,"Male",48,205,46,27,131,30,76,43,29,92,56,148.11,91.29,"32.67",1.48489939066738,"right",0.696779688486638
"92",128,19.22,"Male",47,215,45,22,117,28,74,41,27,92,55,155.51,100.61,"32.67",1.41668478249609,"right",1.03598178493273
"93",130,20.24,"Female",38,203,46,21,113,30,71,40,27,86,55,100,74.67,"24.33",-0.0396179394554835,"right",0.622717959175793
"94",131,20.81,"Male",54,216,43,26,122,30,76,43,31,90,55,138.67,76,"38.8",0.983354043825298,"right",0.912356615835092
"95",132,19.07,"Female",37,218,47,25,131,29,76,44,31,96,54,140.6,68,"44.89",0.719069657242567,"right",1.35440091503229
"96",133,22.58,"Female",45,216,48,26,133,31,76,42,28,94,54,137.33,77.33,"40.55",1.15000715559025,"right",1.3411802058303
"97",134,21.17,"Female",47,206,41,20,102,25,68,39,25,92,52,121.33,68,"32.67",-0.547999017783917,"right",0.306280814273692
"98",136,23.14,"Male",44,222,50,25,135,31,75,45,30,91,56,167.2,100.22,"46.67",0.187363891759691,"right",1.82288978837472
"99",137,22.54,"Male",40,210,44,19,106,28,73,41,28,94,53,122.67,73.33,"22.67",0.156980348081051,"left",0.725869797604169
"100",138,20.36,"Female",29,204,38,25,109,27,70,37,28,90,54,125.33,70.67,"31.33",-0.159278886321057,"right",-0.0267950178171964
"101",141,17.1,"Male",11,188,36,20,97,30,67,37,23,93,52,118.67,60,"26.67",-0.281902622600259,"right",-0.691704388261182
"102",142,16.15,"Female",43,212,40,22,110,27,69,39,30,90,56,137.33,68,"31.33",-0.069776168471936,"right",0.469584724055622
"103",143,23.17,"Male",46,212,43,12,92,28,75,40,30,93,54,132,72,"31.67",0.443535808572415,"right",0.726878878052746
"104",144,24.99,"Female",39,215,45,26,122,31,75,42,30,90,55,137.33,80,"35.71",1.11924353785454,"right",1.03598178493273
"105",145,23.18,"Female",44,217,40,22,104,31,75,46,31,96,55,101.33,77.33,"36.3",0.497120755176164,"right",0.704019642220141
"106",146,21.2,"Male",57,217,48,25,129,28,75,43,30,93,55,118.67,83.18,"46.67",0.458527065180191,"right",1.39013738621247
"107",147,24.48,"Female",22,228,44,18,104,30,75,41,27,69,56,118.67,74.67,"35.93",0.536998325342757,"right",1.6604566892817
"108",148,21.72,"Female",34,191,39,18,96,28,66,35,26,66,55,110.67,64,"24",-0.63862820322302,"right",-0.355809622288444
"109",150,21.7,"Female",44,209,48,23,123,31,73,40,28,93,56,156,82.33,"35",1.35110528608951,"left",1.02697319983016
"110",152,16.18,"Female",45,220,43,24,121,30,76,42,31,96,56,112,81.61,"32.91",0.666168633779032,"right",1.11468548828889
"111",153,22.76,"Male",48,206,43,21,108,29,69,42,26,91,54,138.67,74.67,"33.49",0.303847107913385,"right",0.477810250271775
"112",154,16.69,"Male",31,194,39,16,95,27,63,31,22,74,53,117.33,66.67,"21",-0.719926372521956,"left",-0.27119619882891
"113",155,20.39,"Female",20,NA,28,7,62,19,57,35,NA,70,52,112,50.67,"18",-1.65738525905059,"right",-2.20274197270217
"114",157,18.45,"Male",55,204,41,24,113,31,73,43,30,93,55,159.88,80,"27.67",1.37629729102568,"right",0.230499136179928
"115",158,20.7,"Male",42,212,37,23,102,27,69,39,27,83,56,129.33,66.67,"31",-0.231774380340836,"right",0.212290570058497
"116",159,21.1,"Male",37,202,40,24,109,30,71,40,26,90,55,130.67,73.33,"27",0.4038886870567,"right",0.0723617262451214
"117",160,23.38,"Female",39,208,44,24,116,28,75,43,29,91,54,141.82,77.33,"43.88",0.722751644208697,"right",0.642890927755804
"118",161,20.61,"Female",46,212,39,25,111,30,73,42,29,90,55,128,60,"27",0.246953699826685,"right",0.38382000605658
"119",162,22.74,"Male",36,216,44,22,111,31,76,43,29,90,56,128,114.38,"32.33",1.85930681637218,"right",0.998121333834133
"120",163,21.66,"Female",21,169,37,18,94,17,59,36,24,84,54,112,41.33,"22.33",-1.77301383578471,"right",-0.984955485775748
"121",164,17.08,"Female",41,208,43,23,114,28,73,38,28,90,54,121.33,70.67,"31",0.0825535784825164,"right",0.557126209756763
"122",165,23.93,"Male",48,208,37,26,113,30,74,44,26,92,55,125.33,93.85,"32.36",0.979379712414059,"right",0.0425379017625131
"123",166,NA,"Female",35,160,32,20,91,15,56,34,23,78,51,116,34.67,"25.33",-1.90242735861771,"right",-1.53544124588712
"124",167,24.69,"Female",26,228,32,23,96,27,71,40,28,91,54,110.67,64,"28.67",-0.451253695317229,"right",0.6312800732932
"125",168,24.16,"Female",29,197,40,15,75,30,74,40,26,88,53,118.67,73.33,"31",0.427961021503436,"right",-0.0944485030368614
"126",169,20.55,"Male",36,201,38,15,89,30,69,40,27,85,54,117.33,74.67,"32.33",0.0894523910801573,"left",-0.134113942680479
"127",170,16.03,"Female",33,174,32,18,89,29,69,32,25,81,54,113.33,70.67,"23.33",-0.191046617114171,"right",-1.33172645884136
"128",171,21.86,"Male",31,167,30,15,80,23,57,32,NA,38,50,33.33,74.67,"21",-1.95570045430969,"right",-1.61508883978991
"129",172,24.08,"Male",48,218,47,25,125,31,73,42,28,91,56,134.67,58.67,"36.52",0.498412006662527,"right",1.35440091503229
"130",173,24.14,"Male",49,216,50,26,140,32,76,44,31,95,55,133.33,80,"34.19",1.3263504739078,"right",1.51270964182838
"131",174,20.05,"Female",38,201,40,21,102,29,72,41,27,82,53,129.33,76,"26",0.365528887601333,"left",0.0374154933176047
"132",177,24.19,"Female",38,208,41,18,99,31,73,36,25,81,53,133.33,68,"29.67",0.64821957488316,"right",0.38559677375868
"133",178,16.04,"Male",37,212,36,22,103,31,74,44,29,88,52,106.67,65.33,"31.33",0.253506292096352,"right",0.126525852059455
"134",180,18.97,"Male",40,167,33,19,91,26,60,33,20,79,53,117.33,66.67,"21.67",-0.912585355467424,"left",-1.35779468579279
"135",181,17.19,"Female",41,190,32,12,79,26,66,37,25,89,53,101.33,54.67,"22",-1.12372320661719,"right",-0.983013756574711
"136",182,17.53,"Female",51,218,47,25,94,31,75,43,32,85,54,130.67,81.73,"24.67",1.04202409346668,"right",1.35440091503229
"137",184,21.6,"Male",54,222,40,26,117,29,76,44,29,95,54,148.57,91.58,"40.55",1.36102893327989,"right",0.965242608384306
"138",185,20.45,"Female",42,211,43,22,109,30,76,44,29,93,54,141.82,77.33,"37.69",1.06657920593266,"right",0.683009227695063
"139",186,18.69,"Male",40,210,42,23,112,32,74,43,29,91,55,140.45,97.06,"29.67",1.66385765503664,"right",0.554340361606085
"140",187,24.45,"Female",44,211,44,23,113,29,74,40,29,88,55,120,84.55,"36.52",0.545455858065078,"right",0.768773945694104
"141",188,19.34,"Male",54,222,43,24,117,31,75,43,30,95,54,132,66.67,"43.88",0.759357516614595,"right",1.22253676238143
"142",189,22.95,"Female",50,223,47,25,125,32,74,46,33,96,56,126.67,89.76,"41.74",1.25972887172965,"right",1.62125954155711
"143",190,21.63,"Female",42,209,34,23,99,30,69,41,26,85,52,122.67,87.06,"31.33",0.437530185484958,"right",-0.173732852156425
"144",193,22.81,"Female",45,199,39,22,105,30,73,37,27,90,55,106.67,66.67,"24",0.0389454942947554,"left",-0.115836208992408
"145",194,20.7,"Female",48,210,41,22,106,30,75,38,29,94,54,110.67,86.51,"32.85",0.666192712570218,"right",0.468575643607044
"146",195,22.13,"Female",34,195,41,21,104,29,69,38,28,87,55,130.67,60,"24.33",-0.114838355781937,"right",-0.070064883667679
"147",201,22.88,"Female",20,191,35,16,88,25,66,38,25,89,54,106.67,62.67,"21.67",-0.975909183905109,"right",-0.69886849428461
"148",202,22.84,"Female",37,176,36,20,95,20,58,29,23,73,52,109.33,28,"11",-1.96940788307317,"right",-0.95260275494944
"149",203,20.92,"Male",54,215,43,20,106,29,68,45,28,84,56,129.33,66.67,"28.67",-0.0710474665432414,"right",0.864452348934648
"150",204,22.18,"Female",28,187,35,19,93,21,61,36,25,71,52,96,65.33,"17.33",-1.46005341904975,"left",-0.802392645319845
"151",207,23.35,"Female",46,220,47,29,140,30,76,43,31,88,56,147.52,93.02,"44.89",1.51373004300496,"right",1.45774436028506
"152",208,23.51,"Male",59,213,46,21,113,26,74,42,32,96,56,129.33,107.63,"47.8",0.93703055254876,"right",1.02902522569958
"153",209,22.44,"Female",32,197,40,22,104,27,67,37,27,89,54,113.33,64,"27.67",-0.648028179140767,"right",-0.0944485030368614
"154",212,19.04,"Female",51,224,50,23,130,32,76,44,29,93,56,129.33,101.67,"39.73",1.75155465830737,"right",1.9354024325104
"155",214,20.63,"Female",53,213,43,24,114,29,75,43,30,95,55,121.33,66.67,"26.67",0.282377815906365,"right",0.77173107170246
"156",215,22.35,"Male",28,198,39,18,96,24,68,29,24,75,53,126.67,69.33,"26.33",-0.493869765364502,"right",-0.148406259850721
"157",216,16.95,"Female",30,204,40,20,104,31,69,35,29,85,52,109.33,77.33,"28.33",0.185473655416799,"right",0.144734418180887
"158",217,23.23,"Male",27,176,35,17,89,25,61,37,17,79,54,120,61.33,"18.67",-1.00650485713881,"right",-1.03836747294848
"159",218,22.4,"Female",51,217,45,22,113,32,73,42,29,92,55,138.67,77.73,"34.24",1.1251830445266,"right",1.13284323221535
"160",219,22.03,"Male",55,201,38,25,109,30,71,38,29,90,55,108,61.33,"23",-0.182854096901867,"right",-0.134113942680479
"161",220,18.92,"Male",42,216,40,25,115,30,71,41,30,87,54,129.33,72,"40",0.354805759279632,"right",0.655062461837967
"162",221,18.02,"Male",48,216,48,19,121,29,74,40,30,88,54,121.33,69.33,"32",0.251754210975095,"right",1.3411802058303
"163",223,19.03,"Female",52,203,38,25,111,32,73,40,27,95,56,121.33,93.85,"31",1.18958314622739,"right",-0.0633997848165395
"164",224,21.88,"Female",32,NA,31,13,78,28,62,29,22,67,53,120,73.33,"19.33",-0.48642079680614,"right",-1.90094728842234
