,SubjectID,cohort,age,gender,sspan.raw,ppvt.raw,wasi.vocab.raw,wasi.matr.raw,wasi.iq,wj3.watt.raw,wj3.wid.raw,wj3.rcomp.raw,wj3.oralcomp.raw,celf.rs.raw,celf.fs.raw,towre.w.ipm,towre.nw.ipm,wj3.rf.ipm,composite1,wasi.matr.tf,ppvt.tf,wj3.rcomp.tf,age.c,Pred,stdPred,resid,CI_group
87,138,a197,20.36,Female,29,204,38,25,109,27,70,37,28,90,54,125.33,70.67,31.33,-0.249551711,1.084522427,0.016678043,-0.362666052,0.504942966,0.14711449,0.158422032,-0.509780543,UPC
88,141,a197,17.1,Male,11,188,36,20,97,30,67,37,23,93,52,118.67,60,26.67,-0.356948667,-0.479893109,-0.909310483,-0.362666052,-2.755057034,-0.715675051,-0.920900828,0.353008999,NSC
89,142,a197,16.15,Female,43,212,40,22,110,27,69,39,30,90,56,137.33,68,31.33,-0.164767981,0.07936044,0.639183836,0.128943857,-3.705057034,0.272935193,0.315819814,-0.143991336,EAC
90,143,a197,23.17,Male,46,212,43,12,92,28,75,40,30,93,54,132,72,31.67,0.380144568,-1.946218157,0.639183836,0.388300498,3.314942966,0.248590633,0.285365528,0.139709865,EAC
91,144,a197,24.99,Female,39,215,45,26,122,31,75,42,30,90,55,137.33,80,35.71,1.058045413,1.466461809,0.905268994,0.934593585,5.134942966,1.020907029,1.251509299,-0.086313444,EAC
92,145,a197,23.18,Female,44,217,40,22,104,31,75,46,31,96,55,101.33,77.33,36.3,0.440697402,0.07936044,1.093399475,2.14008551,3.324942966,0.806698944,0.983541653,1.333386566,UGC
93,146,a197,21.2,Male,57,217,48,25,129,28,75,43,30,93,55,118.67,83.18,46.67,0.385266203,1.084522427,1.093399475,1.221716636,1.344942966,0.887412272,1.084511514,0.334304364,NSC
94,147,a197,24.48,Female,22,228,44,18,104,30,75,41,27,69,56,118.67,74.67,35.93,0.481873659,-0.956566383,2.297961632,0.656819093,4.624942966,1.409423353,1.737531127,-0.75260426,UPC
95,148,a197,21.72,Female,34,191,39,18,96,28,66,35,26,66,55,110.67,64,24,-0.724431816,-0.956566383,-0.763701079,-0.818789783,1.864942966,-0.62457975,-0.806943441,-0.194210033,NSC
96,152,a197,16.18,Female,45,220,43,24,121,30,76,42,31,96,56,112,81.61,32.91,0.612289458,0.726444066,1.392534331,0.934593585,-3.675057034,0.911499153,1.114643452,0.023094432,EAC
