SubjectID,G,age.tested,hand,sspan.raw,ppvt.raw,wasi.vocab.raw,wasi.matr.raw,wasi.iq,towre.w.ipm,towre.nw.ipm,wj3.watt.raw,wj3.oralcomp.raw,wj3.rcomp.raw,wj3.wid.raw,wj3.rf.ipm,celf.rs.raw,celf.fs.raw,ctopp2.rapid.naming.comp,Wasi.vocab.raw,wj3.rcomp.ss
126,Female,24.79,18,39,204,42,20,105,126.67,72.00,31,27,40,72,32.67,91,54,101,42,104
127,Male,20.53,20,48,205,46,27,136,148.11,91.29,30,29,43,76,32.67,92,56,107,46,115
128,Male,19.20,22,47,215,45,22,119,155.51,100.61,28,27,41,74,32.67,92,55,119,45,110
129,Female,22.34,15,41,,50,25,141,128.00,74.67,30,29,44,73,37.94,,,,50,118
130,Female,20.22,18,38,203,46,21,115,100.00,74.67,30,27,40,71,24.33,86,55,85,46,106
131,Male,20.74,14,54,216,43,26,125,138.67,76.00,30,31,43,76,38.80,90,55,104,43,115
132,Female,19.05,16,37,218,47,25,136,140.60,68.00,29,31,44,76,44.89,96,54,101,47,121
133,Female,22.56,12,45,216,48,26,138,137.33,77.33,31,28,42,76,40.55,94,54,104,48,111
134,Female,21.16,18,47,206,41,20,103,121.33,68.00,25,25,39,68,32.67,92,52,82,41,103
135,Female,22.81,16,,,,,,,,,,,,,,,,,
136,Male,23.12,19,44,222,50,25,141,1.67,100.22,31,30,45,75,46.67,91,56,119,50,122
137,Male,22.51,-2,40,210,44,19,107,122.67,73.33,28,28,41,73,22.67,94,53,88,44,108
138,Female,20.34,17,29,204,38,25,111,125.33,70.67,27,28,37,70,31.33,90,54,101,38,98
139,Female,19.57,,,,,,,,,,,,,,,,,,
140,Female,22.90,-14,47,219,,,,134.67,66.67,31,29,43,76,31.67,93,56,107,,114
141,Male,17.08,15,11,188,36,20,97,118.67,60.00,30,23,37,67,26.67,93,52,95,36,100
143,Male,23.17,22,46,212,43,12,91,132.00,72.00,28,30,40,75,31.67,93,54,116,43,105
144,Female,24.98,15,39,215,45,26,125,137.33,80.00,31,30,42,75,35.71,90,55,104,45,110
145,Female,23.15,17,44,217,40,22,105,101.33,77.33,31,31,46,75,36.30,96,55,92,40,129
146,Male,21.18,20,57,217,48,25,133,118.67,83.18,28,30,43,75,46.67,93,55,95,48,115
147,Female,24.41,24,22,228,44,18,105,118.67,74.67,30,27,41,75,35.93,69,56,88,44,107
148,Female,21.71,6,34,191,39,18,96,110.67,64.00,28,26,35,66,24.00,66,55,98,39,93
149,Female,16.03,,,,,,,,,,,,,,,,,,
150,Female,21.67,-16,44,209,48,23,126,156.00,82.33,31,28,40,73,35.00,93,56,98,48,105
152,Female,16.17,19,45,220,43,24,124,112.00,81.61,30,31,42,76,32.91,96,56,92,43,117
153,Male,22.72,19,48,206,43,21,109,138.67,74.67,29,26,42,69,33.49,91,54,98,43,111
154,Male,16.69,-20,31,194,39,16,95,117.33,66.67,27,22,31,63,21.00,74,53,98,39,91
155,Female,20.38,21,20,85,28,7,55,112.00,50.67,19,14,35,57,18.00,70,52,104,28,92
156,Male,21.84,18,27,,,,,,,23,21,28,55,10.33,,,,,76
157,Male,18.45,9,55,204,41,24,115,159.88,80.00,31,30,43,73,27.67,93,55,113,41,117
158,Male,20.69,15,42,212,37,23,103,129.33,66.67,27,27,39,69,31.00,83,56,110,37,103
159,Male,21.05,18,37,202,40,24,110,130.67,73.33,30,26,40,71,27.00,90,55,104,40,106
160,Female,23.38,15,39,208,44,24,118,141.82,77.33,28,29,43,75,43.88,91,54,107,44,114
161,Female,20.61,13,46,212,39,25,113,128.00,60.00,30,29,42,73,27.00,90,55,95,39,112
162,Male,22.73,17,36,216,44,22,113,128.00,114.38,31,29,43,76,32.33,90,56,113,44,114
