subject,cohort,age,wj3.watt.raw,wj3.wid.raw,wasi.matr.raw,wj3.rcomp.ss,wasi.vocab.raw,sspan.raw
4084,a40,18.33,32,71,25,108,36,39
1127,a182,19,32,71,23,113,36,47
23,a197,16.60232717,22,67,20,94,35,38
33,a197,19.00889802,24,64,20,75,35,26
62,a197,18.4312115,28,63,18,96,35,37
69,a197,19.69883641,28,68,19,95,35,23
95,a197,23.2881588,30,72,23,95,35,35
98,a197,22.14647502,28,63,17,93,35,27
119,a197,19.92060233,26,68,20,95,35,24
201,a197,22.85010267,25,66,16,100,35,20
204,a197,22.17659138,21,61,19,95,35,28
217,a197,23.21423682,25,61,17,97,35,27
261,a197,24.86516085,29,69,20,94,35,24
4022,a40,15.33,30,68,15,101,35,36
4023,a40,13.92,24,64,13,98,35,30
4065,a40,15.25,32,73,23,112,35,54
4091,a40,16.17,30,67,22,91,35,33
4157,a40,14.42,27,62,23,88,35,26
4161,a40,18.67,29,71,20,107,35,42
1168,a182,20.25,26,62,20,84,35,23
1206,a182,15.42,29,64,20,99,35,36
18,a197,21.82888433,30,67,27,95,34,39
21,a197,19.75085558,28,70,21,90,34,34
81,a197,19.33470226,26,60,16,95,34,23
91,a197,21.88364134,27,69,21,93,34,35
190,a197,21.61533196,30,69,23,108,34,42
264,a197,16.49555099,24,62,21,96,34,32
4004,a40,14.17,26,66,18,114,34,32
4134,a40,16.08,30,68,24,94,34,36
1020,a182,18.08,22,61,20,89,34,31
1054,a182,18.42,25,64,20,89,34,23
1087,a182,16.5,24,63,16,90,34,42
1095,a182,18.5,26,64,20,86,34,37
1188,a182,15.42,23,62,26,99,34,38
17,a197,19.17590691,27,60,25,101,33,10
32,a197,19.77275838,27,62,15,87,33,32
43,a197,18.84462697,27,65,17,86,33,25
90,a197,20.50924025,22,67,22,95,33,33
114,a197,19.36481862,28,65,22,104,33,33
180,a197,18.95140315,26,60,19,86,33,40
183,a197,22.4476386,32,71,21,111,33,21
232,a197,20.183436,28,66,21,103,33,47
236,a197,19.93155373,26,68,23,92,33,29
242,a197,20.07939767,30,62,21,87,33,42
254,a197,24.45995893,25,58,16,92,33,36
4036,a40,17.33,27,61,18,80,33,27
4125,a40,18.33,29,66,19,77,33,21
4151,a40,15.25,28,63,13,86,33,28
4156,a40,17.42,29,70,23,105,33,40
1154,a182,20.67,18,55,18,87,33,31
35,a197,21.29774127,11,53,9,93,32,17
66,a197,24.8843258,28,67,18,94,32,27
166,a197,24.14784394,15,56,20,91,32,35
167,a197,24.6899384,27,71,23,104,32,26
181,a197,17.16906229,26,66,12,100,32,41
4026,a40,17,24,61,18,77,32,46
4085,a40,18.08,27,64,18,96,32,34
4088,a40,16.08,29,68,18,85,32,33
4114,a40,17.67,27,65,18,102,32,41
4159,a40,17.17,30,65,18,87,32,29
4165,a40,16.25,30,67,20,91,32,32
1004,a182,17.25,27,65,24,93,32,31
1178,a182,22.67,28,63,15,93,32,38
1210,a182,16,22,60,18,88,32,41
72,a197,21.32238193,26,64,20,95,31,32
99,a197,23.88227242,30,64,14,84,31,17
108,a197,21.84257358,26,55,20,95,31,23
115,a197,22.12457221,19,52,18,79,31,26
123,a197,21.47296372,31,72,23,108,31,43
224,a197,21.87542779,28,62,13,79,31,32
263,a197,16.49555099,30,63,18,103,31,31
4042,a40,17.83,27,60,14,96,31,49
4132,a40,15.83,29,68,25,95,31,37
1120,a182,22.25,31,68,20,100,31,35
22,a197,17.60438056,21,61,9,74,30,21
41,a197,22.87748118,30,70,21,111,30,34
75,a197,18.26146475,30,66,21,93,30,21
80,a197,20.43258042,16,55,16,77,30,49
171,a197,21.85352498,23,57,15,86,30,31
228,a197,20.6954141,29,69,24,115,30,34
4055,a40,17.5,26,63,18,86,30,35
1096,a182,18.25,28,61,18,89,30,37
39,a197,17.89459274,10,45,17,83,29,30
42,a197,20.97467488,29,65,23,85,29,27
227,a197,22.90485969,24,68,24,105,29,44
4045,a40,15.92,27,62,15,98,29,30
4130,a40,15.83,27,64,17,88,29,41
1040,a182,23.08,22,64,16,85,29,23
15,a197,19.07186858,31,68,17,87,28,19
40,a197,16.26283368,24,63,15,84,28,24
45,a197,21.58795346,28,64,24,97,28,18
155,a197,20.37782341,19,57,7,92,28,20
240,a197,20.96098563,26,67,17,80,28,35
25,a197,17.39904175,28,62,13,90,27,22
84,a197,20.8733744,19,59,13,95,27,24
210,a197,24.06023272,9,45,6,77,27,15
244,a197,19.29637235,17,58,13,65,27,16
4011,a40,18,28,68,18,105,27,32
4070,a40,17.25,24,66,21,83,27,36
20,a197,20.06023272,26,65,20,90,26,30
47,a197,19.44421629,28,65,18,92,26,26
76,a197,18.13278576,32,63,16,83,25,16
86,a197,21.62628337,28,65,22,88,25,36
4121,a40,16.25,30,70,24,104,25,49
1099,a182,17.5,27,60,18,83,25,36
78,a197,19.63039014,28,61,16,78,24,13
1059,a182,15,25,60,15,80,23,14
