"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","Pred","stdPred","resid","CI_group"
"113","143",23.17,3.936085409,132,1.013277401,72,0.410299723,75,0.965801985,28,1.567141763,212,1.10054546,12,0.013034742,83.94339623,1.202557614,40,0.884210536,0.989130218,1.145239749,0.902128033745145,1.10163328010261,-0.0179174977451436,"EAC"
"120","151",19.87,-3.903914591,114.67,-1.147335349,72,-0.809399903,66,-1.576149195,29,-0.610761311,188,-1.277718366,22,-0.503071129,73,-2.004878027,37,-1.74326023,-1.03591144,-1.199404219,-1.0808439814831,-1.31987218703498,-0.6624162485169,"EPC"
"122","153",22.76,-3.733914591,138.67,-0.787053173,74.67,-0.809399903,69,-1.576149195,29,-1.41322975,206,-0.983252354,21,-0.252693548,80.77358491,-1.281492416,42,-0.96528561,-1.146458005,-1.327397803,-0.921097932417703,-1.12479836441173,-0.0441876775822985,"EPC"
"126","158",20.7,0.276085409,129.33,1.543167679,66.67,0.739269791,69,0.1561256,27,-0.035776103,212,0.058661198,23,-0.252693548,81.94339623,0.369116933,39,1.40778337,0.600696742,0.695501738,0.164942564847812,0.201419545606811,1.24284080515219,"UGC"
"128","160",23.38,5.516085409,141.82,0.005351553,77.33,0.011751027,75,0.965801985,28,0.304076256,208,1.10054546,24,0.904086171,86.22641509,1.260462401,43,1.955849081,0.321745205,0.37252466,0.875866395292905,1.06956389102413,1.07998268570709,"UGC"
"133","165",23.93,-4.903914591,125.33,0.437474103,93.85,0.248971844,74,0.346288694,30,0.304076256,208,0.124662443,26,1.578007153,87.05660377,0.459468012,44,0.385124145,0.334202724,0.386948288,0.326498877377154,0.398703970720275,0.0586252676228459,"EAC"
"135","167",24.69,-3.733914591,110.67,-1.147335349,64,-0.593468235,71,-1.229160995,27,-1.41322975,228,-1.462865546,23,-0.738283726,85.18867925,-1.322627727,40,-0.96528561,-1.095798582,-1.268743054,-1.22567639665427,-1.4967342317146,0.26039078665427,"EPC"
"136","168",24.16,3.466085409,118.67,-0.354930623,73.33,0.248971844,74,0.750905434,30,0.682542295,197,0.698266199,15,1.939406956,81.24528302,0.799132282,40,0.884210536,0.331872238,0.384249992,0.803089679947612,0.980692634780679,0.0811208560523874,"EAC"
"138","170",16.03,0.686085409,113.33,1.7586888,70.67,0.573339531,69,0.965801985,29,1.567141763,174,1.017253918,18,0.591254207,55,1.474234252,32,1.678754225,1.21624302,1.408196641,0.96333243370412,1.17637300813476,0.715421791295881,"UGC"
"139","171",21.86,2.476085409,85.33,0.653535379,74.67,0.656333036,57,1.663562087,23,1.102549013,167,1.917861794,15,0.904086171,58,1.526882142,32,1.40778337,1.018994879,1.179817801,1.44125952029142,1.75999347487699,-0.0334761502914154,"EAC"
"142","175",19.24,-0.513914591,124,1.995275897,76,2.092372652,70,1.189390714,29,-0.035776103,203,1.185291298,24,0.294292934,79.03773585,0.874145527,37,0.884210536,1.31031579,1.517116451,1.01066769883257,1.23417644782867,-0.126457162832569,"EAC"
