"","X","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","rc.comp","Pred","stdPred","resid","CI_group"
"82",82,"1130",14.75,-0.983914591,98.67,0.653535379,81.82,0.329039454,62,0.5444753,25,0.682542295,185,0.775922446,20,0.013034742,70.64150943,-0.643208329,35,-0.317608215,0.552398107,0.639580369,-0.547581225593847,0.537633367244258,0.659745423636791,-0.855241582244259,"UPC"
"84",84,"1134",15,-4.483914591,116,-0.067028974,56,-0.143532136,59,-1.350555732,22,-1.41322975,187,-0.370349867,20,-1.531462466,78,-0.081489395,35,-0.755508785,-0.743586648,-0.860943252,-0.160752746374381,-0.702367717296716,-0.855783585166335,-0.053141067703283,"EAC"
"86",86,"114",19.38,0.596085409,133.33,0.581154851,68,0.656333036,65,-0.026231123,28,1.102549013,198,0.260363295,22,0.591254207,70,0.817785013,39,1.142935739,0.578451444,0.669745575,-0.09008160969292,0.39536255277303,0.485862070529071,0.747573186226969,"UGC"
"87",87,"1140",20.33,-3.393914591,129.33,0.509314477,78.67,0.939809587,68,0.5444753,31,1.102549013,203,0.401106703,23,1.232951274,83,-0.810460226,42,0.63160695,0.774037094,0.896199541,1.03411246251172,0.560505736828981,0.687700027901145,0.0711012131710185,"EAC"
"89",89,"1146",22,-5.643914591,129.33,-0.499151524,78.67,-1.154657797,73,-2.275460112,32,-1.871707136,211,-1.156765001,25,-0.738283726,88,-1.509355496,40,-0.539616645,-1.450244142,-1.679129004,1.11065192795126,-1.19679994388793,-1.46007852621753,0.657183298887936,"EPC"
"90",90,"1147",21.92,-4.813914591,138.67,0.581154851,82.67,0.756801062,75,0.5444753,31,0.682542295,219,1.359219943,26,0.904086171,89,1.614725431,45,0.884210536,0.641243377,0.742447648,1.8831735192585,0.939465851812724,1.15086498363974,-0.0552553158127245,"EAC"
"91",91,"115",22.14,2.436085409,98.67,0.293253202,18.67,-0.21994689,52,-1.10178426,19,-0.610761311,130,-0.253507611,18,0.904086171,50.60377358,0.234823476,29,-0.089482551,-0.409809815,-0.474488071,-1.89384150006744,-0.0677070276962933,-0.0801014524426403,-0.0217755233037057,"EAC"
"95",95,"1154",20.67,-1.893914591,86.67,0.869596654,18.67,1.38026943,55,-0.828317379,18,-0.851164447,197,-0.370349867,18,-0.503071129,65,-0.579218859,33,-0.317608215,0.142596065,0.165101296,-1.01973945496707,-0.255476702062835,-0.309593500493028,-0.0621315129371656,"EAC"
"96",96,"1157",21.5,-0.893914591,138.67,1.87050051,82.67,3.563083939,75,0.750905434,32,0.682542295,220,0.401106703,24,-0.958524173,88,-0.466148342,44,1.142935739,1.716758045,1.987705477,1.66293243900402,0.52448698869071,0.643677923126511,0.618448750309286,"UGC"
"97",97,"1160",20.42,-1.563914591,62.67,0.869596654,42.67,3.329907069,62,1.421900249,22,0.682542295,201,0.621974035,26,-1.531462466,76,0.459468012,36,1.142935739,1.575986567,1.824716733,-0.156308956217205,0.498931330978932,0.612443804798639,0.644004408021065,"UGC"
"99",99,"1163",22,-5.813914591,118.67,-0.499151524,64,-0.879800747,67,-0.681836275,26,-1.063496366,193,-0.891006211,21,-1.693910723,84,-1.322627727,41,-0.539616645,-0.781071228,-0.904343837,0.96372726447434,-1.02371271712794,-1.24853136188166,0.484096072127942,"EPC"
"100",100,"1165",15.67,-1.483914591,121.33,2.002838041,62.67,1.725960837,71,0.965801985,29,1.102549013,204,0.473411677,23,0.591254207,75,1.614725431,37,-0.089482551,1.449287469,1.678021343,-0.0901735859659822,0.716751937479961,0.878664094428145,-0.806234488479963,"UPC"
"101",101,"1167",21.92,-3.483914591,125.33,-0.499151524,84,-0.809399903,74,-0.968234398,31,-0.851164447,215,-1.156765001,24,-0.503071129,89,-1.509355496,41,-0.317608215,-0.781987568,-0.905404799,1.31797598502909,-0.940124388664728,-1.14636972818417,0.622516173664729,"EPC"
"102",102,"1168",20.25,-2.733914591,112,-1.291016097,49.33,-0.371433657,62,-1.10178426,26,-1.063496366,180,-0.843462206,20,-0.738283726,51,-0.279001579,32,-1.557934351,-0.956932595,-1.107960534,-1.58107635055429,-0.854376133442448,-1.04156823255344,-0.703558217557552,"EPC"
"104",104,"1174",19.08,-1.733914591,125.33,0.653535379,69.33,0.491533654,67,0.750905434,29,1.102549013,200,0.935398336,22,-0.958524173,76,0.021240794,37,0.385124145,0.74963087,0.867941403,-0.0359921740316693,0.512818246795764,0.629416389762955,-0.127694101795765,"EAC"
"105",105,"1175",20.83,-1.233914591,124,0.221412828,78.67,2.128770413,74,-0.368379615,30,-0.035776103,203,-0.312486205,16,-1.163993086,81,0.459468012,39,-0.089482551,0.486506881,0.563289856,0.506924045677033,-0.22153610806126,-0.268111315173459,0.132053557061259,"EAC"
"106",106,"1176",21.75,-2.813914591,118.67,1.543167679,62.67,0.573339531,66,0.1561256,28,0.682542295,201,0.124662443,21,-0.503071129,81,0.459468012,37,0.14476127,0.738793776,0.855393944,0.256609612835522,0.150272555614953,0.186313138603707,-0.00551128561495447,"EAC"
