"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","wj3.rcomp.raw","wj3.rcomp.t","decode","Pred","stdPred","resid","CI_group"
"95","133",22.58,2.729564586,137.33,1.055637347,77.33,0.605078838,76,1.654750487,31,1.09549979,216,1.210976399,26,1.567500578,42,1.109884717,1.1027416154603,1.2105779891381,1.47837273486929,-0.100693272138102,"EAC"
"101","142",16.15,-3.700435414,137.33,1.055637347,68,0.051303916,69,0.163943594,27,-0.365597421,212,0.893139414,22,0.328114835,39,0.392552867,0.22632185898517,0.515331443889585,0.629329099739238,-0.122778576889584,"EAC"
"103","144",24.99,5.139564586,137.33,1.055637347,80,0.768728188,75,1.41646007,31,1.09549979,215,1.129513136,26,1.567500578,42,1.109884717,1.08408134870978,1.20267610045098,1.46872285118248,-0.0927913834509777,"EAC"
"104","145",23.18,3.329564586,101.33,-0.885941623,77.33,0.605078838,75,1.41646007,31,1.09549979,217,1.293802699,22,0.328114835,46,2.126573476,0.557774268704802,0.929338090618737,1.13491911051919,1.19723538538126,"UGC"
"107","148",21.72,1.869564586,110.67,-0.382209746,64,-0.177123521,66,-0.357666301,28,-0.06006099,191,-0.45723712,18,-0.685210621,35,-0.502320313,-0.244265139521413,-0.376928494687304,-0.460309715307945,-0.125391818312695,"EAC"
"110","152",16.18,-3.670435414,112,-0.31047919,81.61,0.868482809,76,1.654750487,30,0.667255005,220,1.550624395,24,0.919173977,42,1.109884717,0.720002277710687,1.0811323762382,1.32029215974197,0.0287523407618004,"EAC"
"111","153",22.76,2.909564586,138.67,1.127907231,74.67,0.444292033,69,0.163943594,29,0.283170289,206,0.45503442,21,0.053831952,42,1.109884717,0.504828286724504,0.42966494395858,0.524712116012566,0.680219773041421,"UGC"
"112","154",16.69,-3.160435414,117.33,-0.023017636,66.67,-0.025265026,63,-0.816650502,27,-0.365597421,194,-0.29412573,16,-1.109133369,31,-1.325126042,-0.307632646266308,-0.455616032900528,-0.556403905118135,-0.869510009099472,"UPC"
"113","155",20.39,0.539564586,112,-0.31047919,50.67,-0.896150701,57,-1.566962831,19,-1.784567601,85,-2.608505026,7,-2.365674841,35,-0.502320313,-1.13954008074227,-2.01540515436094,-2.46123757135042,1.51308484136094,"EPC"
"114","157",18.45,-1.400435414,159.88,2.271820841,80,0.768728188,73,0.966039424,31,1.09549979,204,0.318808273,24,0.919173977,43,1.357650474,1.27552206071406,0.62682552625398,0.76548704490719,0.730824947746023,"UGC"
"117","160",23.38,3.529564586,141.82,1.297795391,77.33,0.605078838,75,1.41646007,28,-0.06006099,208,0.596083262,24,0.919173977,43,1.357650474,0.81481832722713,0.727660054137926,0.888627410992153,0.629990419862076,"UGC"
"120","163",21.66,1.809564586,112,-0.31047919,41.33,-1.357471503,59,-1.340007112,17,-1.94064961,169,-1.403060569,18,-0.685210621,36,-0.285282158,-1.23715185373808,-1.13949410381066,-1.39156421951239,0.85421194581066,"EPC"
"122","165",23.93,4.079564586,125.33,0.408444357,93.85,1.652304876,74,1.18696091,30,0.667255005,208,0.596083262,26,1.567500578,44,1.609702791,0.978741286959456,0.878766613756234,1.07316060076078,0.730936177243769,"UGC"
"123","166",24.15,4.299564586,116,-0.094748193,34.67,-1.662321893,56,-1.672371765,15,-2.047989792,160,-1.682078949,20,-0.20641511,34,-0.714855583,-1.36935791073393,-1.20759974071068,-1.47473566124285,0.492744157710683,"EPC"
"124","167",24.69,4.839564586,110.67,-0.382209746,64,-0.177123521,71,0.549087282,27,-0.365597421,228,2.299628726,23,0.616530895,40,0.62731058,-0.0939608515185024,1.34541796127623,1.64304096786867,-0.718107381276232,"UPC"
"125","168",24.16,4.309564586,118.67,0.049252248,73.33,0.364159236,74,1.18696091,30,0.667255005,197,-0.121723812,15,-1.30080831,40,0.62731058,0.566906849715015,-0.0352567080787912,-0.043055925690367,0.662567288078793,"UGC"
"126","169",20.55,0.699564586,117.33,-0.023017636,74.67,0.444292033,69,0.163943594,30,0.667255005,201,0.123249075,15,-1.30080831,40,0.62731058,0.313118248965808,-0.0355902858868429,-0.0434632950137856,0.662900865886844,"UGC"
"128","171",21.86,2.009564586,85.33333333,-1.748685835,74.67,0.444292033,57,-1.566962831,23,-1.268890484,167,-1.469844157,15,-1.30080831,32,-1.126291415,-1.03506177926053,-1.20910087588932,-1.47656886599245,0.0828094608893212,"EPC"
"129","172",24.08,4.229564586,134.67,0.912176234,58.67,-0.472652869,73,0.966039424,31,1.09549979,218,1.378008433,25,1.236134677,42,1.109884717,0.625265644716376,1.14312135207094,1.39599385971979,-0.0332366350709426,"EAC"
"130","174",20.05,0.199564586,129.33,0.624175354,76,0.524401914,72,0.753484457,29,0.283170289,201,0.123249075,21,0.053831952,41,0.866429766,0.546308003471761,0.223456515879721,0.272887846525622,0.642973250120281,"UGC"
"132","177",24.19,4.339564586,133.33,0.839906351,68,0.051303916,73,0.966039424,31,1.09549979,208,0.596083262,18,-0.685210621,36,-0.285282158,0.738187370213459,0.478433941914078,0.584269416352671,-0.763716099914077,"UPC"
