"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","decode","Pred","stdPred","resid","CI_group"
"91","339",21.69,2.832621951,142.33,1.121937053,68,-0.28242071,66,-0.782485185,24,-1.548777695,200,-0.285410125,19,-0.953376739,85,0.817598584,-0.372936634319724,-0.206192621623203,-0.249495813355009,1.0237912056232,"UGC"
"92","340",22.98,4.122621951,132,0.548309608,57.33,-0.9894485,73,0.783773445,29,-0.101336301,205,0.097032206,27,1.800243352,83,0.536883506,0.0603245630199586,0.515308981463108,0.62353071796947,0.0215745245368923,"EAC"
"93","341",20.36,1.502621951,128,0.326188622,54.67,-1.158651516,73,0.783773445,29,-0.101336301,212,0.720611516,24,0.595711907,88,1.275958382,-0.0375064374765579,0.531925104655833,0.643636447926205,0.744033277344167,"UGC"
"99","347",20.82,1.962621951,124,0.104067636,69.33,-0.191265178,66,-0.782485185,22,-1.838136047,191,-0.859446859,22,-0.089879491,80,0.150916205,-0.67695469357292,-0.527249379811637,-0.6379787588683,0.678165584811637,"UGC"
"100","348",24.5,5.642621951,104,-1.006537292,74.67,0.181128122,73,0.783773445,32,1.565330264,213,0.818856205,23,0.241542026,81,0.275033958,0.380923634798205,0.868732216006846,1.05117753015027,-0.593698258006846,"UPC"
"105","355",20.79,1.932621951,121.33,-0.044198121,46.67,-1.649189484,63,-1.264175695,23,-1.708292335,180,-1.394035675,19,-0.953376739,62,-1.42711639,-1.1664639088116,-1.04040515870121,-1.25890407318043,-0.386711231298795,"EPC"
"106","357",21.06,2.202621951,141.82,1.093616628,78.67,0.466587515,73,0.783773445,31,0.921245944,206,0.179559915,23,0.241542026,78,-0.084229987,0.816305883019637,0.44469374388338,0.538085341744147,-0.52892373088338,"UPC"
"107","358",21.44,2.582621951,132,0.548309608,81.95,0.704686515,65,-0.954027742,25,-1.354417267,194,-0.683194385,21,-0.399119802,76,-0.302609528,-0.263862221581734,-0.337162783290979,-0.40797145008086,0.0345532552909791,"EAC"
"108","359",21.65,2.792621951,136,0.770430594,73.64,0.108514656,70,0.027589687,31,0.921245944,203,-0.061859522,24,0.595711907,81,0.275033958,0.456945220255195,0.304645174796675,0.368624711353702,-0.0296112167966751,"EAC"
"111","363",17.07,-1.787378049,150.73,1.588391123,87.69,1.129795142,70,0.027589687,29,-0.101336301,209,0.439986113,21,-0.399119802,81,0.275033958,0.66110991271328,0.248301960190111,0.300448672657146,0.0267319978098891,"EAC"
"113","365",21.16,2.302621951,136,0.770430594,102.35,2.261610009,73,0.783773445,31,0.921245944,204,0.016573106,26,1.374518222,84,0.674828751,1.18426499799512,0.59292995480824,0.717453127604676,0.0818987961917608,"EAC"
"115","368",22.23,3.372621951,128,0.326188622,72,-0.006334704,73,0.783773445,32,1.565330264,212,0.720611516,18,-1.199581025,83,0.536883506,0.667239406794738,0.582892893137919,0.705308149551617,-0.0460093871379194,"EAC"
"116","369",19.91,1.052621951,145.12,1.276866441,80.45,0.595356804,73,0.783773445,32,1.565330264,210,0.531223067,24,0.595711907,76,-0.302609528,1.0553317385316,0.671565941454188,0.812603716827383,-0.974175469454187,"UPC"
"117","374",20.25,1.392621951,120,-0.118053349,78.67,0.466587515,71,0.264334349,27,-0.837180151,213,0.818856205,22,-0.089879491,91,1.781759048,-0.0560779090293496,0.488882104983914,0.591553846112664,1.29287694301609,"UGC"
"118","375",19.96,1.102621951,143.72,1.199124096,87.14,1.088606316,74,1.067959269,27,-0.837180151,209,0.439986113,20,-0.686756194,89,1.439135245,0.62962738247798,0.363179070939876,0.439451503832349,1.07595617406012,"UGC"
"120","1004",17.25,-1.607378049,85.33333333,-2.043101892,42.66666667,-1.883686338,65,-0.954027742,27,-0.837180151,180,-1.394035675,24,0.595711907,78,-0.084229987,-1.4294990307704,-1.1060136693083,-1.3382912432098,1.0217836823083,"EPC"
"121","1005",17.83,-1.027378049,133.3333333,0.622349935,66.66666667,-0.373151302,60,-1.655322263,28,-0.500519232,202,-0.138307159,25,0.973187769,78,-0.084229987,-0.476660715566582,-0.125245306260063,-0.151548485657864,0.0410153192600631,"EAC"
"122","1006",13.5,-5.357378049,69.33333333,-2.931585835,24,-2.864257531,41,-2.793138662,16,-2.214538924,155,-2.120828539,17,-1.425980974,28,-2.321824848,-2.70088023808486,-2.25894330346881,-2.73335142750705,-0.0628815445311879,"EPC"
"123","1007",22.92,4.062621951,109.3333333,-0.71037598,61.33333333,-0.729366128,70,0.027589687,31,0.921245944,191,-0.859446859,22,-0.089879491,70,-0.865115373,-0.122726619225788,-0.277690818563518,-0.336009582144641,-0.587424554436482,"UPC"
"125","1011",25.08,6.222621951,116,-0.340174335,78.66666667,0.466347369,75,1.3694923,30,0.369301289,219,1.461080137,21,-0.399119802,88,1.275958382,0.466241655780077,1.18484527913536,1.43367853891993,0.0911131028646421,"EAC"
"127","1013",21.67,2.812621951,133.3333333,0.622349935,76,0.275435686,73,0.783773445,29,-0.101336301,192,-0.802277771,25,0.973187769,85,0.817598584,0.395055691251279,-0.0580177356107424,-0.0702022314537317,0.875616319610743,"UGC"
"128","1014",21.17,2.312621951,122.6666667,0.03002731,78.66666667,0.466347369,71,0.264334349,31,0.921245944,216,1.128366355,25,0.973187769,91,1.781759048,0.420488743010059,0.952114555076268,1.15207126890305,0.829644492923732,"UGC"
"129","1016",21.33,2.472621951,138.6666667,0.918511253,78.66666667,0.466347369,74,1.067959269,31,0.921245944,214,0.919531189,27,1.800243352,83,0.536883506,0.843515958778394,1.05459404141676,1.27607280972991,-0.517710535416763,"UPC"
"130","1018",23.83,4.972621951,138.6666667,0.918511253,78.66666667,0.466347369,75,1.3694923,28,-0.500519232,212,0.720611516,22,-0.089879491,90,1.607696938,0.563457922504404,0.782829101063923,0.947233619079546,0.824867836936077,"UGC"
"131","1020",18.08,-0.777378049,121.3333333,-0.044013022,48,-1.56961764,61,-1.534116302,22,-1.838136047,191,-0.859446859,20,-0.686756194,74,-0.505028675,-1.24647075282326,-0.889545551920401,-1.07636194345897,0.384516876920401,"EPC"
"132","1022",21.33,2.472621951,136,0.770430594,66.66666667,-0.373151302,68,-0.403494073,31,0.921245944,200,-0.285410125,22,-0.089879491,84,0.674828751,0.22875779075013,0.0272959383887866,0.0330284482395002,0.647532812611213,"UGC"
"133","1024",24.25,5.392621951,124,0.104067636,72,-0.006334704,73,0.783773445,29,-0.101336301,201,-0.212810632,21,-0.399119802,86,0.965302691,0.195042519007769,0.179376134714933,0.21704750753725,0.785926556285067,"UGC"
