"SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.t","towre.nw.ipm","towre.nw.ipm.cs","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","nd.rcomp.raw","nd.rcomp.t","decode","Pred1","stdPred1","CDI.1","Pred2","stdPred2","CDI.2"
"133",22.58,1.283173653,137.33,0.589750764,77.33,0.217002935,76,1.405698115,31,0.836122116,216,0.7010734,26,1.3110607,34,0.288689496,0.762143482458015,0.686937846649524,0.90114929439746,-0.398248350649524,0.546643264099769,0.675912287775947,-0.25795376809977
"134",21.17,-0.126826347,121.33,-0.277004433,68,-0.369959695,68,-1.02448031,25,-1.536595565,206,-0.290619687,20,-0.794239493,37,1.050590042,-0.802010000689896,-0.520720251642148,-0.683099190977851,1.57131029364215,-0.4669450552559,-0.577367217806885,1.5175350972559
"136",23.14,1.843173653,167.2,2.012533002,100.22,1.657043087,75,0.943371987,31,0.836122116,222,1.476230811,25,0.888989635,33,0.069114204,1.36226754796528,1.24942827347783,1.63904407438645,-1.18031406947783,0.761857883072402,0.942020397064026,-0.692743679072403
"137",22.54,1.243173653,122.67,-0.201031834,73.33,-0.034642351,73,0.181522516,28,-0.721307337,210,0.066058202,19,-1.052836817,27,-0.938379259,-0.193864751482657,-0.13852767167236,-0.181725485294654,-0.79985158732764,-0.109424385717787,-0.135300829118421,-0.828954873282213
"138",20.36,-0.936826347,125.33,-0.05215641,70.67,-0.201986467,70,-0.638991177,27,-1.05646916,204,-0.451211828,25,0.888989635,34,0.288689496,-0.487400803458388,-0.341491439430476,-0.447980514024814,0.630180935430476,-0.201577765248022,-0.249246441681181,0.490267261248022
"143",23.17,1.873173653,132,0.310386065,72,-0.118314409,75,0.943371987,28,-0.721307337,212,0.26360814,12,-2.264378153,36,0.778669358,0.103534076500621,-0.00196350158786274,-0.00257579059302566,0.780632859587863,-0.0295860378052513,-0.0365824803691187,0.808255395805251
"144",24.99,3.693173653,137.33,0.589750764,80,0.384976164,75,0.943371987,31,0.836122116,215,0.586151095,26,1.3110607,35,0.524957176,0.688555257717724,0.562732416340231,0.738212230404567,-0.0377752403402312,0.507886314372781,0.627990177917167,0.017070861627218
"145",23.18,1.883173653,101.33,-1.498878938,77.33,0.217002935,75,0.943371987,31,0.836122116,217,0.819880744,22,-0.202170189,36,0.778669358,0.124404524970316,0.360387066963109,0.472768464717151,0.418282291036892,0.409983493242199,0.50693550816752,0.368685864757801
"146",21.2,-0.096826347,118.67,-0.429815582,83.18,0.585034167,75,0.943371987,28,-0.721307337,217,0.819880744,25,0.888989635,36,0.778669358,0.0943208087510931,0.443379678927461,0.581641100099513,0.33528967907254,0.535136994437726,0.661685040206327,0.243532363562274
"147",24.48,3.183173653,118.67,-0.429815582,74.67,0.04965882,75,0.943371987,30,0.207905859,228,2.417398419,18,-1.287896925,33,0.069114204,0.192780270982154,0.988787338138618,1.29712610304832,-0.919673134138617,0.320693589520724,0.396530520015401,-0.251579385520724
"150",21.7,0.403173653,156,1.504784746,82.33,0.531559544,73,0.181522516,31,0.836122116,209,-0.027772453,23,0.133421932,37,1.050590042,0.763497230482706,0.325765289887354,0.427350396498295,0.724824752112645,0.487007001873433,0.60217337049507,0.563583040126566
"153",22.76,1.463173653,138.67,0.658623928,74.67,0.04965882,69,-0.845313065,29,-0.305137928,206,-0.290619687,21,-0.511038042,31,-0.322907328,-0.110542061220574,-0.227496835307793,-0.298438371941898,-0.095410492692207,-0.10642364769147,-0.131590483016173,-0.21648368030853
"157",18.45,-2.846826347,159.88,1.683880576,80,0.384976164,73,0.181522516,31,0.836122116,204,-0.451211828,24,0.496791987,37,1.050590042,0.771625342982578,0.226430323288946,0.297039283940072,0.824159718711053,0.443255606413712,0.548075739116311,0.607334435586288
"158",20.7,-0.596826347,129.33,0.167050839,66.67,-0.453631753,69,-0.845313065,27,-1.05646916,212,0.26360814,23,0.133421932,29,-0.656880793,-0.547090784704126,-0.111061470117653,-0.145694353409222,-0.545819322882346,0.0942817777836517,0.116577329895438,-0.751162570783651
"159",21.1,-0.196826347,130.67,0.239278341,73.33,-0.034642351,71,-0.401870721,30,0.207905859,202,-0.600889472,24,0.496791987,33,0.069114204,0.00266778200993942,-0.224030788719709,-0.293891489786113,0.293144992719709,-0.0500246545208844,-0.0618543772162027,0.119138858520884
"160",23.38,2.083173653,141.82,0.818463468,77.33,0.217002935,75,0.943371987,28,-0.721307337,208,-0.118434288,24,0.496791987,35,0.524957176,0.314382763249818,0.0793478603653015,0.104091321729847,0.445609315634698,0.23341644357136,0.288614262265279,0.291540732428639
"161",20.61,-0.686826347,128,0.094770828,60,-0.873250268,73,0.181522516,30,0.207905859,212,0.26360814,25,0.888989635,32,-0.134508775,-0.0972627662517722,0.131655488724091,0.172710313411525,-0.266164263724091,0.265405564455656,0.32816810166961,-0.399914339455656
"162",22.74,1.443173653,128,0.094770828,114.38,2.547867402,76,1.405698115,31,0.836122116,216,0.7010734,22,-0.202170189,36,0.778669358,1.22111461520724,0.801895328063834,1.05195457287057,-0.0232259700638346,0.91583239894736,1.1324064753594,-0.13716304094736
"163",21.66,0.363173653,112,-0.825337643,41.33,-2.047804643,59,-1.850643686,17,-2.161732579,169,-1.969993986,18,-1.287896925,22,-1.447244252,-1.72137963765778,-1.68032001291542,-2.20430305491704,0.233075760915416,-2.21946781475955,-2.74432279100215,0.772223562759549
