"SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","gm.rcomp.raw","gm.rcomp.cs","decode","Pred1","stdPred1","CDI.1","Pred2","stdPred2","CDI.2"
"a1950056",21.42,1.104878049,117.3333333,0.267752467,57.33333333,-0.156162789,70,0.912377121,25,-0.390302432,206,0.975483309,23,1.097245117,41,0.985071788,0.158416091739998,0.736469458332862,0.941187053002106,0.248602329667138,0.694547570490096,0.871380054736595,0.290524217509905
"a1950057",20.08,-0.235121951,113.3333333,0.036983548,50.66666667,-0.513504258,68,0.526539925,27,0.105336261,207,1.043964409,24,1.400038076,34,0.261191154,0.0388388689959695,0.782135914017112,0.99954748650248,-0.520944760017111,0.789308486631012,0.990267191925365,-0.52811733263101
"a1950058",20.58,0.264878049,109.3333333,-0.19378537,45.33333333,-0.791866289,60,-0.838838045,25,-0.390302432,187,-0.181694823,19,-0.008547455,31,-0.049043403,-0.553698033981151,-0.231254691927635,-0.295536929005172,0.182211288927635,-0.240668787955243,-0.301943294547336,0.191625384955243
"a1950059",17.83,-2.485121951,121.3333333,0.498521385,81.33333333,1.204319563,67,0.340448985,30,1.005666497,189,-0.072232191,12,-1.525232666,42,1.088483307,0.762239107518794,-0.0964256675770553,-0.123229264842694,1.18490897457706,-0.00482036298783972,-0.00604763210820668,1.09330366998784
"a1950060",17.83,-2.485121951,112,-0.039939423,50.66666667,-0.513504258,61,-0.683273436,22,-0.993827275,194,0.213768148,24,1.400038076,22,-0.979747076,-0.557636097983791,0.175388185541042,0.224141120305249,-1.15513526154104,0.270743608572126,0.339675193559858,-1.25049068457212
"a1950061",23.17,2.854878049,78.66666667,-1.963013744,18.66666667,-2.056081846,50,-2.172087018,12,-2.060143835,152,-1.686486226,15,-0.941950193,16,-1.60021619,-2.06283161072866,-1.53379706391949,-1.96014909001133,-0.0664191260805125,-1.16287134428298,-1.45893951508757,-0.437344845717025
"a1950062",21.5,1.184878049,85.33333333,-1.57839888,54.66666667,-0.300295314,65,-0.018295839,26,-0.152373326,183,-0.392382461,20,0.25194701,32,0.054368116,-0.512340839750147,-0.291884170190091,-0.373019680431375,0.346252286190091,-0.250408334882789,-0.314162539557691,0.304776450882788
"a1950063",24.08,3.764878049,98.66666667,-0.809169151,37.33333333,-1.195486485,61,-0.683273436,20,-1.312620503,175,-0.781949475,13,-1.342148869,22,-0.979747076,-1.00013739374407,-0.841756393675543,-1.07574076643617,-0.137990682324458,-0.952756405786204,-1.19532910970347,-0.0269906702137959
"a1950064",20.33,0.014878049,143.5803037,1.781998711,96.42301711,2.110081393,70,0.912377121,31,1.351039833,203,0.774755316,20,0.25194701,44,1.295306345,1.53887426452167,0.827285703096028,1.05724763475386,0.468020641903973,0.958615286394709,1.20267966692261,0.336691058605292
"a1950065",24.5,4.184878049,98.66666667,-0.809169151,44,-0.860340525,60,-0.838838045,20,-1.312620503,195,0.273125761,20,0.25194701,32,0.054368116,-0.955242055988292,-0.0196477201359317,-0.0251092284003132,0.0740158361359316,-0.102177702561655,-0.128192244651144,0.156545818561655
